epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.602,0.96625,0.83588,0.96703,0.92471,0.8984,0.95121,0.77906,0.84362,0.49754,0.90725,0.00332948,0.00332948,0.00332948
2,348.567,0.88199,0.54931,0.92619,0.92921,0.9022,0.95704,0.78628,0.84029,0.48846,0.90868,0.00659686,0.00659686,0.00659686
3,517.92,0.87633,0.54364,0.9272,0.9383,0.92247,0.96348,0.79725,0.77321,0.47383,0.89737,0.00979823,0.00979823,0.00979823
4,686.168,0.85963,0.5269,0.92636,0.94372,0.92623,0.96872,0.8059,0.77178,0.45548,0.89535,0.009703,0.009703,0.009703
5,853.834,0.8191,0.49293,0.91469,0.95581,0.93296,0.97463,0.81817,0.74324,0.42132,0.88695,0.009604,0.009604,0.009604
6,1021.2,0.79892,0.47437,0.90965,0.9602,0.94686,0.98065,0.83736,0.72351,0.40389,0.88089,0.009505,0.009505,0.009505
7,1189.28,0.78406,0.45945,0.90384,0.96562,0.93977,0.98166,0.8421,0.70789,0.3909,0.87873,0.009406,0.009406,0.009406
8,1357.88,0.76314,0.44199,0.89805,0.95769,0.95205,0.98055,0.84036,0.69878,0.38712,0.87302,0.009307,0.009307,0.009307
9,1526.09,0.74777,0.43145,0.89233,0.96364,0.94353,0.98293,0.8462,0.69267,0.37449,0.86883,0.009208,0.009208,0.009208
10,1693.88,0.74,0.42397,0.89043,0.96245,0.952,0.98319,0.85248,0.67985,0.36573,0.86529,0.009109,0.009109,0.009109
11,1861.5,0.73695,0.41848,0.88907,0.96886,0.94889,0.98574,0.8572,0.67456,0.35983,0.86587,0.00901,0.00901,0.00901
12,2030.3,0.72204,0.40816,0.88575,0.96062,0.9599,0.98386,0.86324,0.66784,0.35442,0.861,0.008911,0.008911,0.008911
13,2198.22,0.71706,0.40243,0.88366,0.96968,0.95183,0.98659,0.86284,0.66701,0.35049,0.8634,0.008812,0.008812,0.008812
14,2368.16,0.71051,0.39929,0.88143,0.96958,0.95505,0.98688,0.87153,0.66082,0.34549,0.86164,0.008713,0.008713,0.008713
15,2535.9,0.7057,0.39433,0.87989,0.97576,0.95513,0.98809,0.87727,0.65481,0.33942,0.86018,0.008614,0.008614,0.008614
16,2703.65,0.69947,0.38888,0.87916,0.97279,0.95974,0.98779,0.87205,0.64904,0.33507,0.85949,0.008515,0.008515,0.008515
17,2871.22,0.69494,0.38461,0.87637,0.97053,0.96299,0.9887,0.87772,0.64809,0.32861,0.85881,0.008416,0.008416,0.008416
18,3038.78,0.69103,0.37986,0.874,0.97627,0.96053,0.98968,0.87803,0.64356,0.32013,0.85612,0.008317,0.008317,0.008317
19,3206.01,0.68517,0.37731,0.8737,0.97463,0.962,0.98975,0.88321,0.63414,0.32042,0.85563,0.008218,0.008218,0.008218
20,3373.33,0.67831,0.37229,0.8715,0.97449,0.96292,0.98849,0.8839,0.63141,0.31776,0.85076,0.008119,0.008119,0.008119
21,3540.82,0.67789,0.37025,0.87285,0.97105,0.95638,0.98885,0.88502,0.62815,0.32028,0.85384,0.00802,0.00802,0.00802
22,3708.21,0.67299,0.36773,0.86965,0.97481,0.96297,0.98967,0.88947,0.62604,0.31402,0.85038,0.007921,0.007921,0.007921
